Name,Months
"Packaging machines: Inspection equipment (including checkweighers, metal detectors, counting machines etc)",120
Packaging machines: Multihead and singlehead weighers,120
Packaging machines: Palletisers and depalletisers,144
"Packaging machines: Product identification labellers (including decorating, applicators and coding machines)",96
Packaging machines: Robotic pick and place packaging machines,120
"Packaging machines: Wrapping machines (including pallet wrappers, shrink wrappers, stretch wrappers and strapping machines)",120
Partitions (demountable),240
Plastic safety screens (including sneeze guards),24
Platform scales,180
Plumbing fixtures and fittings (including wall and floor tiles) provided mainly for employees and/or children of employees of an entity carrying on a business for the purpose of producing assessable income: Floor and wall tiles,240
"Plumbing fixtures and fittings (including wall and floor tiles) provided mainly for employees and/or children of employees of an entity carrying on a business for the purpose of producing assessable income: Generally (including basins, bidets, sinks, toilets, urinals etc)",240
"Plumbing fixtures and fittings (including wall and floor tiles) provided mainly for employees and/or children of employees of an entity carrying on a business for the purpose of producing assessable income: Tapware (including taps, mixers and shower heads and assemblies)",180
Pneumatic air tube systems,120
"Point of sale assets: Cash registers, standalone type",120
"Point of sale assets: Cash transfer system assets, pneumatic type (including printer circuit board, transfer pipes and turbines)",120
"Point of sale assets: Generally (including barcode scanners, cash drawers, dedicated computers, electronic funds transfer point of sale (EFTPOS) machines, keyboards, monitors, printers and terminals)",72
Point of sale assets: Weighing machines and scales (including weigh labelling machines),120
"Portable structures (sheds, site office trailers, portable toilets and washrooms etc) used for a temporary period in offsite locations (e.g. construction sites)",180
Powder coating machines and systems (automatic and manual),120
Power regulation systems (PRS),60
Power supply assets: Emergency or standby: Generator assets: Acoustic hoods and canopies,240
Power supply assets: Emergency or standby: Generator assets: Generators (incorporating attached engine management and generator monitoring instruments),300
Power supply assets: Emergency or standby: Generator assets: Power management units,180
Power supply assets: Emergency or standby: Uninterruptible power supply (UPS) systems,180
"Power supply assets: Generators, portable (incorporating attached engine management and generator monitoring instruments): Diesel",120
"Power supply assets: Generators, portable (incorporating attached engine management and generator monitoring instruments): Petrol",60
"Power supply assets: Power supply assets: Private electricity line assets (where used for a specified purpose): Distribution lines: Overhead (incorporating poles - concrete, wood, steel or stobie - and electrical equipment the responsibility of the private landholder such as conductors, cross arms etc)",540
"Power supply assets: Power supply assets: Private electricity line assets (where used for a specified purpose): Distribution lines: Underground (incorporating cables, fittings and ground pad mounted transformers)",600
"Power supply assets: Power supply assets: Private electricity line assets (where used for a specified purpose): Service cables, overhead",480
"Power supply assets: Power supply assets: Private electricity line assets (where used for a specified purpose): Service cables, underground",600
Power supply assets: Storage batteries,180
Power tools: Chainsaws (Chain saws),36
Power tools: Hand tools: Air,60
Power tools: Hand tools: Battery,36
Power tools: Hand tools: Electric,60
Power tools: Jack hammers: Air,84
Power tools: Jack hammers: Electric,36
Power tools: Nail guns - air,36
Power transformers,540
"Public address and paging system assets (including amplifiers, audio speakers and microphones)",144
Racehorses: Flat racing (thoroughbred horses),60
